所属天/单元,单词,词性及中文释义
第7天 Unit 2 Lesson 3,*progressive,adj.进步的;逐步的
第7天 Unit 2 Lesson 3,aggressive,"adj.好斗的,侵略性的;有闯劲的,有进取心的"
第7天 Unit 2 Lesson 3,*aggression,n.侵略;攻击性
第7天 Unit 2 Lesson 3,advance,n.进展;进步;前进 v.进步;前进;推动
第7天 Unit 2 Lesson 3,*advanced,adj.先进的;高级的
第7天 Unit 2 Lesson 3,prior,adj.先前的;较早的;优先的;较重要的
第7天 Unit 2 Lesson 3,priority,"n.优先,优先权;优先事项"
第7天 Unit 2 Lesson 3,economy,n.经济;节省
第7天 Unit 2 Lesson 3,economic,"adj.经济的,经济学的;可赚钱的"
第7天 Unit 2 Lesson 3,economics,n.经济学;经济情况
第7天 Unit 2 Lesson 3,economical,adj.经济的;节约的
第7天 Unit 2 Lesson 3,develop,v.开发;发展;成长;增强
第7天 Unit 2 Lesson 3,*development,n.发展;开发
第7天 Unit 2 Lesson 3,company,n.公司;陪伴
第7天 Unit 2 Lesson 3,accompany,v.陪伴;伴随
第7天 Unit 2 Lesson 3,*companion,"n.同伴,朋友"
第7天 Unit 2 Lesson 3,manufacture,"v.生产,制造 n.大量制造,批量生产"
第7天 Unit 2 Lesson 3,*manufacturer,n.生产商;制造商
第7天 Unit 2 Lesson 3,manual,adj.体力的;手工的 n.使用手册;指南
第7天 Unit 2 Lesson 3,colleague,"n.同事,同僚"
第7天 Unit 2 Lesson 3,employ,"v.雇用;应用,运用,使用"
第7天 Unit 2 Lesson 3,*employee,"n.受雇者,雇工,雇员"
第7天 Unit 2 Lesson 3,*employer,"n.雇用者,雇主,老板"
第7天 Unit 2 Lesson 3,*employment,n.工作;就业;雇用
第7天 Unit 2 Lesson 3,hire,"v.雇用;租用 n.租借,租用"
第7天 Unit 2 Lesson 3,utilise/-ize,"v.利用,使用"
第7天 Unit 2 Lesson 3,*utility,n.公用事业;效用;有用
第7天 Unit 2 Lesson 3,recruit,v.招聘;吸收(新成员) n.新成员
第7天 Unit 2 Lesson 3,wage,n.工资
第7天 Unit 2 Lesson 3,salary,n.薪水
第7天 Unit 2 Lesson 3,pay,"v.付费;交纳;创收;付出代价 n.工资,薪水"
第7天 Unit 2 Lesson 3,payment,n.付款;收款;报答
第7天 Unit 2 Lesson 3,earn,"v.赚,挣得;获得"
第7天 Unit 2 Lesson 3,apply,"v.申请,应用,适用"
第7天 Unit 2 Lesson 3,*applicant,n.申请人
第7天 Unit 2 Lesson 3,*application,n.申请;应用
第7天 Unit 2 Lesson 3,supply,"v.提供,供给,供应 n.供应,存货;补给(品)"
第7天 Unit 2 Lesson 3,supplement,n.增补(物);补充(物) v.增补;补充
第7天 Unit 2 Lesson 3,provide,"v.提供,供给;给予"
第7天 Unit 2 Lesson 3,*provision,n.供给;供应品
第7天 Unit 2 Lesson 3,provided,"conj.如果,假如"
第7天 Unit 2 Lesson 3,firm,n.公司;商行;商号 adj.坚固的;坚定的
第7天 Unit 2 Lesson 3,*firmly,adv.牢牢地
第7天 Unit 2 Lesson 3,confirm,"v.证实,证明;批准;使确信"
第7天 Unit 2 Lesson 3,tight,adj.紧的;严密的;防……的 adv.紧紧地;牢固地
第7天 Unit 2 Lesson 3,loose,v.释放;松开 adj.未固定牢的;自由的;零散的
第7天 Unit 2 Lesson 3,*loosen,v.(使)放松;松开;(使)变弱
第7天 Unit 2 Lesson 3,*loosely,"adv.宽松地,松散地"
第7天 Unit 2 Lesson 3,undo,"v.打开,解开;消除,取消"
第7天 Unit 2 Lesson 3,screw,n.螺丝(钉) v.用螺丝固定;拧紧
第7天 Unit 2 Lesson 3,manage,v.管理;解决;完成
第7天 Unit 2 Lesson 3,*management,"n.经营,管理"
第7天 Unit 2 Lesson 3,manager,n.经理;管理者
第8天 Unit 2 Lesson 4,,
第8天 Unit 2 Lesson 4,operate,v.运转;操作;经营;动手术
第8天 Unit 2 Lesson 4,*operator,n.操作人员
第8天 Unit 2 Lesson 4,operation,"n.手术;操作,运转;行动,活动"
第8天 Unit 2 Lesson 4,*operational,adj.操作的;运转的;可使用的
第8天 Unit 2 Lesson 4,surgery,n.外科手术;门诊处;诊室
第8天 Unit 2 Lesson 4,surgeon,n.外科医生
第8天 Unit 2 Lesson 4,dentist,n.牙医;牙医诊所
第8天 Unit 2 Lesson 4,identical,"adj.同一的,相同的"
第8天 Unit 2 Lesson 4,cooperate,"v.合作,协作"
第8天 Unit 2 Lesson 4,*cooperation,n.合作;协作;配合
第8天 Unit 2 Lesson 4,corporate,adj.公司的;全体的;法人的
第8天 Unit 2 Lesson 4,corporation,"n.(大)公司,企业"
第8天 Unit 2 Lesson 4,incorporate,"v.将……并入,包含"
第8天 Unit 2 Lesson 4,compete,v.竞争;参加比赛
第8天 Unit 2 Lesson 4,*competitor,"n.竞争者,对手"
第8天 Unit 2 Lesson 4,*competitive,adj.竞争的;有竞争力的;好胜的
第8天 Unit 2 Lesson 4,competition,n.竞争;比赛
第8天 Unit 2 Lesson 4,competent,adj.有能力的;称职的;胜任的
第8天 Unit 2 Lesson 4,complete,adj.完整的;完全的 v.完成;填写(表格)
第8天 Unit 2 Lesson 4,*completely,adv.完全地;彻底地
第8天 Unit 2 Lesson 4,rival,n.竞争对手 v.与……匹敌;比得上
第8天 Unit 2 Lesson 4,ready,adj.准备好的;已完成的;方便使用的
第8天 Unit 2 Lesson 4,*readily,adv.快捷地;便利地;欣然地
第8天 Unit 2 Lesson 4,versus,prep.(表示两队或双方对阵)对抗;与……相对
第8天 Unit 2 Lesson 4,compare,v.比较;比作;与……类似;比喻
第8天 Unit 2 Lesson 4,*comparable,adj.类似的;可比较的
第8天 Unit 2 Lesson 4,*comparative,adj.比较而言的;相对的;比较的;相比的
第8天 Unit 2 Lesson 4,*comparison,n.比较;对比;相比
第8天 Unit 2 Lesson 4,despair,n.绝望 v.绝望;丧失信心
第8天 Unit 2 Lesson 4,appear,v.显得;似乎;出现;起源
第8天 Unit 2 Lesson 4,appearance,"n.外貌,外观,外表;(尤指突然的)抵达,到来"
第8天 Unit 2 Lesson 4,disappear,"v.消失,不见"
第8天 Unit 2 Lesson 4,vanish,v.突然消失;灭绝
第8天 Unit 2 Lesson 4,missing,adj.不在的;丢失的;缺少的
第8天 Unit 2 Lesson 4,miss,"v.错过;未击中;想念 n.(M-)小姐,女士"
第8天 Unit 2 Lesson 4,amaze,v.使吃惊;使惊讶
第8天 Unit 2 Lesson 4,*amazing,adj.令人惊奇的
第8天 Unit 2 Lesson 4,astonish,v.使十分惊讶;使吃惊
第8天 Unit 2 Lesson 4,stone,n.石头;石块;宝石
第8天 Unit 2 Lesson 4,rock,"n.岩石,岩块;摇滚乐"
第8天 Unit 2 Lesson 4,amuse,v.娱乐;逗乐
第8天 Unit 2 Lesson 4,*amusement,n.娱乐活动
第8天 Unit 2 Lesson 4,library,n.图书馆;藏书楼;资料室
第8天 Unit 2 Lesson 4,emerge,v.浮现;出现;兴起
第8天 Unit 2 Lesson 4,emergency,"n.紧急情况,非常时刻"
第8天 Unit 2 Lesson 4,surface,n.表面 v.升到水面;显露
第8天 Unit 2 Lesson 4,float,v.浮动;漂浮
第8天 Unit 2 Lesson 4,survey,n.民意调查;总体研究 v.审视;调查
第8天 Unit 2 Lesson 4,convey,"v.表达,传递;运送,输送"
第8天 Unit 2 Lesson 4,research,v./n.研究;调查
第8天 Unit 2 Lesson 4,trade,n.贸易;交易;行业 v.做生意
第8天 Unit 2 Lesson 4,bid,v./n.出价;投标;努力争取
第8天 Unit 2 Lesson 4,commerce,"n.(尤指国际间的)贸易,商业"
第8天 Unit 2 Lesson 4,*commercial,adj.贸易的;商业的
第8天 Unit 2 Lesson 4,*commercialise/-ize,v.商业化
第8天 Unit 2 Lesson 4,business,"n.商业;生意,交易;事情;工作"
第8天 Unit 2 Lesson 4,sale,n.出售;廉价售卖
第8天 Unit 2 Lesson 4,merchant,n.商人;批发商
第8天 Unit 2 Lesson 4,invest,v.投资;投入;授予
第8天 Unit 2 Lesson 4,*investment,n.投资;投资额;(时间、精力的)投入
第8天 Unit 2 Lesson 4,investigate,v.调查;研究
第8天 Unit 2 Lesson 4,*investigation,n.调查;研究
第8天 Unit 2 Lesson 4,statistic,n.统计数字;统计学;(一项)统计数据
第8天 Unit 2 Lesson 4,*statistical,adj.统计的;统计学的
第8天 Unit 2 Lesson 4,data,n.资料;数据
第8天 Unit 2 Lesson 4,*datum,n.数据;资料
第8天 Unit 2 Lesson 4,*database,n.(储存在计算机中的)数据库
第8天 Unit 2 Lesson 4,accommodate,v.为……提供住宿;适应;容纳
第8天 Unit 2 Lesson 4,*accommodation,n.住处;住宿
第8天 Unit 2 Lesson 4,ultimate,"adj.最后的,最终的"
第8天 Unit 2 Lesson 4,finance,n.财政;金融
第8天 Unit 2 Lesson 4,*financial,adj.财政的;财务的;金融的
第8天 Unit 2 Lesson 4,crisis,n.危机;危急关头
第8天 Unit 2 Lesson 4,debt,"n.债务,欠款"
第8天 Unit 2 Lesson 4,owe,v.欠(账、情);归因于
第8天 Unit 2 Lesson 4,commodity,n.商品
第8天 Unit 2 Lesson 4,goods,n.商品;货品
第8天 Unit 2 Lesson 4,advertise,v.(为……)做广告;宣传
第8天 Unit 2 Lesson 4,*advertisement,n.广告
第8天 Unit 2 Lesson 4,*advertiser,n.广告商;广告公司;登广告者
第9天 Unit 3 Lesson 1,,
第9天 Unit 3 Lesson 1,produce,"v.生产,制造 n.产品;(尤指)农产品"
第9天 Unit 3 Lesson 1,product,n.产品;产物
第9天 Unit 3 Lesson 1,production,n.生产;制作;产量
第9天 Unit 3 Lesson 1,reproduce,v.复制;繁殖;再生产
第9天 Unit 3 Lesson 1,*reproduction,"n.生殖,繁殖;复制"
第9天 Unit 3 Lesson 1,productivity,n.生产率;生产力
第9天 Unit 3 Lesson 1,yield,"n.产量;利润 v.出产,生产;屈服"
第9天 Unit 3 Lesson 1,harvest,"n.收获,成果 v.收割;采集"
第9天 Unit 3 Lesson 1,revenue,n.税收;收入;收益
第9天 Unit 3 Lesson 1,avenue,"n.大街,林荫道;途径"
第9天 Unit 3 Lesson 1,outlet,n.出口;经销店;发泄方式;表现机会
第9天 Unit 3 Lesson 1,output,"v.输出 n.(人、机器等的)产量,输出量"
第9天 Unit 3 Lesson 1,income,"n.收入,收益"
第9天 Unit 3 Lesson 1,overcome,"v.克服,战胜"
第9天 Unit 3 Lesson 1,overtake,v.超过;赶上
第9天 Unit 3 Lesson 1,overall,"adj.全面的,综合的 adv.总计;总体上"
第9天 Unit 3 Lesson 1,overwhelming,adj.巨大的;压倒性的
第9天 Unit 3 Lesson 1,overstate,v.夸大;夸张;言过其实
第9天 Unit 3 Lesson 1,status,n.法律地位(或身份);地位;职位
第9天 Unit 3 Lesson 1,statue,"n.雕像,雕塑"
第9天 Unit 3 Lesson 1,statement,n.声明;陈述;观点
第9天 Unit 3 Lesson 1,belief,"n.相信,信心;信念;看法"
第9天 Unit 3 Lesson 1,believe,v.相信;认定
第9天 Unit 3 Lesson 1,brief,adj.短暂的;简短的;简洁的
第9天 Unit 3 Lesson 1,opinion,n.意见;看法;主张
第9天 Unit 3 Lesson 1,thought,"n.思想;想法;思考 v.认为;想,思考;打算"
第9天 Unit 3 Lesson 1,*thoughtful,"adj.沉思的,思考的;体贴的"
第9天 Unit 3 Lesson 1,brush,n.刷子;画笔 v.(用刷子)涂;抹
第9天 Unit 3 Lesson 1,paint,n.油漆;颜料 v.在……上刷油漆;用颜料画;描绘
第9天 Unit 3 Lesson 1,*painter,n.油漆匠;画家
第9天 Unit 3 Lesson 1,*painting,n.油画;绘画
第9天 Unit 3 Lesson 1,describe,"v.描述,形容"
第9天 Unit 3 Lesson 1,*description,n.描述;说明
第9天 Unit 3 Lesson 1,prescribe,v.规定;开处方
第9天 Unit 3 Lesson 1,*prescription,"n.药方,处方;开处方"
第9天 Unit 3 Lesson 1,draw,"v.画;拖,拉,牵引;吸引;引起;得出;提取"
第9天 Unit 3 Lesson 1,*drawing,n.图画;素描画
第9天 Unit 3 Lesson 1,drawer,n.抽屉
第9天 Unit 3 Lesson 1,sketch,"n.素描,速写;概述 v.画素描;概述"
第9天 Unit 3 Lesson 1,*sketchy,adj.粗略的;概略的;不完备的
第9天 Unit 3 Lesson 1,withdraw,"v.(使)撤回;撤离;收回;提,取(银行账户中的款)"
第9天 Unit 3 Lesson 1,*withdrawal,n.提款;撤走;收回
第9天 Unit 3 Lesson 1,withstand,"v.承受,抵住"
第9天 Unit 3 Lesson 1,clash,n.冲突;不协调;撞击声 v.冲突;争论
第9天 Unit 3 Lesson 1,crash,v.撞车;坠毁 n.撞车事故;失事
第9天 Unit 3 Lesson 1,ashamed,adj.惭愧的;羞耻的;羞愧的
第9天 Unit 3 Lesson 1,shame,"n.惭愧,羞耻,羞愧;羞耻心;耻辱;令人遗憾的事"
第9天 Unit 3 Lesson 1,cash,n.现金;金钱
第9天 Unit 3 Lesson 1,flash,"n.闪光;闪现 v.闪光,闪烁"
第9天 Unit 3 Lesson 1,dash,"v.猛冲,突进;(使)冲撞 n.猛冲,突进;破折号"
第9天 Unit 3 Lesson 1,sense,n.感觉;见识;理解力;意义 v.感觉到;觉察到
第9天 Unit 3 Lesson 1,sensitive,adj.敏感的;善解人意的
第9天 Unit 3 Lesson 1,sensible,adj.明智的;合理的;可以感觉到的
第9天 Unit 3 Lesson 1,nonsense,"n.废话,胡说;荒谬的想法"
第9天 Unit 3 Lesson 1,tense,adj.紧张的 v.紧张;绷紧 n.时态
第9天 Unit 3 Lesson 1,*tension,n.紧张;矛盾;拉伸;张力
第9天 Unit 3 Lesson 1,intense,adj.紧张的;激烈的;十分强烈的
第9天 Unit 3 Lesson 1,*intensity,n.强烈;紧张
第9天 Unit 3 Lesson 1,intensive,"adj.集中的,加强的;密集的"
第9天 Unit 3 Lesson 1,*intensively,adv.集中地;强烈地
第9天 Unit 3 Lesson 1,intensify,"v.增强,加剧"
第10天 Unit 3 Lesson 2,,
第10天 Unit 3 Lesson 2,steady,"adj.平稳的;牢固的;冷静的 v.使平稳,稳住"
第10天 Unit 3 Lesson 2,stable,adj.稳定的;牢固的;稳重的 n.养马场;马房
第10天 Unit 3 Lesson 2,*stabilise/-ize,"v.(使)稳定,稳固"
第10天 Unit 3 Lesson 2,*stability,n.稳定(性);稳固(性)
第10天 Unit 3 Lesson 2,establish,"v.建立,设立;确定"
第10天 Unit 3 Lesson 2,*establishment,n.建立;机构
第10天 Unit 3 Lesson 2,foundation,"n.地基;基础,根据;建立"
第10天 Unit 3 Lesson 2,profound,adj.影响深远的;深切的;理解深刻的;深厚的
第10天 Unit 3 Lesson 2,base,n.基础;根据 v.以……为基础;以……为据点
第10天 Unit 3 Lesson 2,basis,n.基础;基准;原因
第10天 Unit 3 Lesson 2,basic,adj.基础的;基本的
第10天 Unit 3 Lesson 2,*basically,adv.基本上;总的来说
第10天 Unit 3 Lesson 2,construction,"n.建筑,建造,施工;创立"
第10天 Unit 3 Lesson 2,structure,"n.结构;建筑物;体系 v.组织,安排"
第10天 Unit 3 Lesson 2,infrastructure,"n.(国家或机构的)基础设施,基础建设"
第10天 Unit 3 Lesson 2,frame,"n.框架;结构;体形,身材 v.给……做框;制订"
第10天 Unit 3 Lesson 2,framework,n.框架;结构;机制;准则
第10天 Unit 3 Lesson 2,brave,"adj.勇敢的,无畏的"
第10天 Unit 3 Lesson 2,*bravery,n.勇气
第10天 Unit 3 Lesson 2,courage,n.勇气;勇敢;胆量
第10天 Unit 3 Lesson 2,*courageous,adj.勇敢的;无畏的
第10天 Unit 3 Lesson 2,encourage,"v.鼓励;激励,刺激"
第10天 Unit 3 Lesson 2,*encouragement,"n.鼓励,激励"
第10天 Unit 3 Lesson 2,discourage,"v.使气馁,使灰心;阻止"
第10天 Unit 3 Lesson 2,urge,"v.主张,强烈要求;催促;鼓励"
第10天 Unit 3 Lesson 2,urgent,"adj.急迫的,紧急的"
第10天 Unit 3 Lesson 2,bold,"adj.勇敢的,大胆的;鲁莽的"
第10天 Unit 3 Lesson 2,bald,adj.秃头的;光秃秃的;简单的;直截了当的
第10天 Unit 3 Lesson 2,inspire,v.鼓舞;激励;启发
第10天 Unit 3 Lesson 2,spirit,n.精神;心灵;情绪
第10天 Unit 3 Lesson 2,*spiritual,adj.精神的;心灵的
第10天 Unit 3 Lesson 2,aspire,v.渴望(成就);有志(成为)
第10天 Unit 3 Lesson 2,expire,"v.到期,过期,失效;(任期)届满;死亡"
第10天 Unit 3 Lesson 2,cease,"v.停止,终止"
第10天 Unit 3 Lesson 2,pause,"v.中止,暂停 n.停顿;暂停键"
第10天 Unit 3 Lesson 2,cancel,"v.取消,废除;撤销"
第10天 Unit 3 Lesson 2,hang,"v.悬挂,吊着;垂下 v.绞死"
第10天 Unit 3 Lesson 2,halt,"v.(使)停止,停下 n.停止;暂停;阻止"
第10天 Unit 3 Lesson 2,mood,n.情绪;心情;气氛;(动词的)语气
第10天 Unit 3 Lesson 2,moon,n.月亮;月球
第10天 Unit 3 Lesson 2,temper,n.脾气;情绪;怒气 v.使缓和
第10天 Unit 3 Lesson 2,temperature,"n.温度,气温;体温"
第10天 Unit 3 Lesson 2,annoy,v.使苦恼;使生气;骚扰
第10天 Unit 3 Lesson 2,*annoyed,adj.恼怒的;生气的
第10天 Unit 3 Lesson 2,bore,v.使厌烦 n.令人讨厌的人或事
第10天 Unit 3 Lesson 2,boring,adj.无聊的;令人厌烦的
第10天 Unit 3 Lesson 2,tedious,"adj.单调的,乏味的"
第10天 Unit 3 Lesson 2,dull,adj.枯燥的;不鲜明的;迟钝的
第10天 Unit 3 Lesson 2,bother,"v.烦扰,打扰 n.麻烦,烦扰"
第10天 Unit 3 Lesson 2,disturb,v.打扰;使烦恼
第10天 Unit 3 Lesson 2,trouble,n.问题;困难;烦恼 v.使烦恼;劳驾;费力
第10天 Unit 3 Lesson 2,*troublesome,"adj.令人烦恼的,讨厌的"
第10天 Unit 3 Lesson 2,burden,"n.负担,重担 v.(使)担负;负重"
第10天 Unit 3 Lesson 2,cheer,v.欢呼;使振作;鼓舞 n.欢呼声
第10天 Unit 3 Lesson 2,*cheerful,"adj.快乐的,愉快的"
第10天 Unit 3 Lesson 2,clap,v./n.拍手;鼓掌
第10天 Unit 3 Lesson 2,celebrate,v.庆祝;庆贺;赞美
第10天 Unit 3 Lesson 2,congratulate,"v.祝贺,庆贺"
第10天 Unit 3 Lesson 2,*congratulation,"n.祝贺,恭贺;贺辞"
第10天 Unit 3 Lesson 2,festival,n.节日;喜庆日
第10天 Unit 3 Lesson 2,balloon,n.气球
第10天 Unit 3 Lesson 2,pool,"n.池塘,水池"
第11天 Unit 3 Lesson 3,,
第11天 Unit 3 Lesson 3,fortune,"n.财富,财产;运气"
第11天 Unit 3 Lesson 3,fortunate,"adj.幸运的,吉利的"
第11天 Unit 3 Lesson 3,*fortunately,adv.幸运地;吉利地
第11天 Unit 3 Lesson 3,unfortunate,adj.不幸的
第11天 Unit 3 Lesson 3,*unfortunately,adv.不幸地
第11天 Unit 3 Lesson 3,fate,n.命运;天意
第11天 Unit 3 Lesson 3,wealth,"n.财富;富有;大量,丰富"
第11天 Unit 3 Lesson 3,*wealthy,adj.富裕的;富有的
第11天 Unit 3 Lesson 3,poverty,"n.贫穷,贫困;短缺;劣质"
第11天 Unit 3 Lesson 3,*poor,adj.贫穷的;可怜的;劣质的
第11天 Unit 3 Lesson 3,asset,"n.资产,财产"
第11天 Unit 3 Lesson 3,settle,v.定居;解决
第11天 Unit 3 Lesson 3,*settlement,"n.解决,处理;移居地"
第11天 Unit 3 Lesson 3,upset,adj.心烦的;沮丧的 v.使心烦意乱;搅乱
第11天 Unit 3 Lesson 3,property,n.所有物;财产;不动产;房地产
第11天 Unit 3 Lesson 3,proper,"adj.正确的;适合的,适当的"
第11天 Unit 3 Lesson 3,*properly,adv.适当地
第11天 Unit 3 Lesson 3,appropriate,adj.恰当的;合适的
第11天 Unit 3 Lesson 3,*appropriately,adv.恰当地
第11天 Unit 3 Lesson 3,possess,v.拥有;具有
第11天 Unit 3 Lesson 3,possession,n.拥有;财产;私人物品
第11天 Unit 3 Lesson 3,assess,v.评估;估算
第11天 Unit 3 Lesson 3,*assessment,n.评估;评定;判定
第11天 Unit 3 Lesson 3,benefit,n.利益;益处;津贴 v.使受益
第11天 Unit 3 Lesson 3,*beneficial,adj.有益的
第11天 Unit 3 Lesson 3,profit,"n.利润,好处 v.得利"
第11天 Unit 3 Lesson 3,*profitable,adj.有利可图的;有益的
第11天 Unit 3 Lesson 3,pension,n.养老金;抚恤金
第11天 Unit 3 Lesson 3,subsidy,"n.补贴,补助金,津贴"
第11天 Unit 3 Lesson 3,welfare,"n.福利,救济;幸福"
第11天 Unit 3 Lesson 3,add,v.加;增加;添加;补充说
第11天 Unit 3 Lesson 3,addition,n.加;增加;增加物
第11天 Unit 3 Lesson 3,*additional,"adj.额外的,附加的"
第11天 Unit 3 Lesson 3,leap,v./n.跳跃;剧增
第11天 Unit 3 Lesson 3,count,v.数数;计数;重要 n.数数;数出总数
第11天 Unit 3 Lesson 3,*countless,adj.无数的;数不胜数的
第11天 Unit 3 Lesson 3,account,"n.账户,账号;账目 v.认为;解释;导致"
第11天 Unit 3 Lesson 3,counter,n.柜台;计算器;相对的事物
第11天 Unit 3 Lesson 3,encounter,v./n.遭遇;遇见
第11天 Unit 3 Lesson 3,counterpart,n.相似(或地位相当)的人或物
第11天 Unit 3 Lesson 3,calculate,v.计算;估计;推测
第11天 Unit 3 Lesson 3,*calculation,n.计算
第11天 Unit 3 Lesson 3,*calculator,n.计算器
第11天 Unit 3 Lesson 3,estimate,"v.估计,估算 n.估计,估算"
第11天 Unit 3 Lesson 3,underestimate,v.低估;轻视 n.低估;轻视
第11天 Unit 3 Lesson 3,approximate,"adj.大约的;接近的 v.近似,接近;估算"
第11天 Unit 3 Lesson 3,*approximately,adv.大概;大约
第11天 Unit 3 Lesson 3,intimate,"adj.亲密的;密切的 n.密友,知己"
第11天 Unit 3 Lesson 3,imitate,v.模仿
第11天 Unit 3 Lesson 3,*imitation,n.模仿;仿制品
第11天 Unit 3 Lesson 3,hesitate,"v.犹豫,踌躇"
第11天 Unit 3 Lesson 3,candidate,"n.候选人,申请人;应试者"
第11天 Unit 3 Lesson 3,simulate,"v.假装,装作;模仿;模拟"
第11天 Unit 3 Lesson 3,stimulate,v.促进;激发;激励;刺激
第11天 Unit 3 Lesson 3,spur,v.鞭策;激励;刺激 n.马刺;鞭策;激励
第11天 Unit 3 Lesson 3,simultaneous,"adj.同时发生(或进行)的,同步的"
第11天 Unit 3 Lesson 3,*simultaneously,adv.同时发生(或进行)地;同步地
第11天 Unit 3 Lesson 3,spill,"v.(使)洒出,溢出 n.洒出(量);泄漏(量)"
第11天 Unit 3 Lesson 3,swear,"v.发誓,宣誓;诅咒"
第11天 Unit 3 Lesson 3,wear,"v.穿,戴;留(发、须等);呈现,面带;磨损"
第11天 Unit 3 Lesson 3,spoil,"v.破坏,毁掉;溺爱 n.赃物;战利品"
第11天 Unit 3 Lesson 3,ruin,v.(使)毁坏;(使)毁灭 n.毁灭;破坏;废墟
第11天 Unit 3 Lesson 3,destroy,"v.毁坏,破坏;消灭"
第11天 Unit 3 Lesson 3,*destruction,"n.破坏;毁灭,摧毁"
第11天 Unit 3 Lesson 3,soil,n.土地;土壤
第11天 Unit 3 Lesson 3,boil,v.煮(沸);烧开
第11天 Unit 3 Lesson 3,spread,v.散布;展开 n.传播;广泛
第11天 Unit 3 Lesson 3,widespread,adj.分布广的;广泛流传的
第11天 Unit 3 Lesson 3,popular,adj.受欢迎的;普遍的
第11天 Unit 3 Lesson 3,*popularity,n.受欢迎;普及;流行
第11天 Unit 3 Lesson 3,prevail,v.普遍存在;盛行;被接受;战胜
第11天 Unit 3 Lesson 3,population,n.人口;某领域的生物;族群
第11天 Unit 3 Lesson 3,scream,"n./v.尖叫,喊叫"
第11天 Unit 3 Lesson 3,stream,"n.溪流,小河 v.流动;涌出"
第11天 Unit 3 Lesson 3,steam,"n.水蒸气,蒸汽;水汽 v.蒸发,蒸"
第11天 Unit 3 Lesson 3,*steamer,n.汽船;轮船;蒸锅;蒸笼
第11天 Unit 3 Lesson 3,span,n.期间;持续时间;跨度 v.(时间)持续;横跨
第11天 Unit 3 Lesson 3,scare,"v.惊吓;(使)害怕 n.惊恐,恐慌"
第11天 Unit 3 Lesson 3,*scary,"adj.恐怖的,吓人的"
第11天 Unit 3 Lesson 3,afraid,"adj.害怕的,担心的"
第11天 Unit 3 Lesson 3,cow,n.奶牛 v.恐吓
第11天 Unit 3 Lesson 3,threat,"n.恐吓,威胁"
第11天 Unit 3 Lesson 3,threaten,"v.恐吓,威胁"
第11天 Unit 3 Lesson 3,frighten,"v.使惊吓,使惊恐"
第11天 Unit 3 Lesson 3,*frightened,"adj.惊吓的,受惊的"
第11天 Unit 3 Lesson 3,*frightening,"adj.引起恐惧的,使惊恐的,骇人的"
第11天 Unit 3 Lesson 3,*fright,n.惊吓;恐怖
第11天 Unit 3 Lesson 3,uneasy,"adj.焦虑的,不安的;担心的"
第11天 Unit 3 Lesson 3,ease,"n.舒适,轻松 v.减轻,缓和"
第12天 Unit 3 Lesson 4,,
第12天 Unit 3 Lesson 4,fight,v.打架;与……作斗争
第12天 Unit 3 Lesson 4,hit,v.打;撞到 n.打;很受欢迎的人或事物
第12天 Unit 3 Lesson 4,beat,v.打;打败;赢
第12天 Unit 3 Lesson 4,beast,n.野兽;牲畜
第12天 Unit 3 Lesson 4,conflict,"n.冲突,争执;战斗 v.冲突;抵触"
第12天 Unit 3 Lesson 4,attack,"v.袭击,攻击;批评 n.袭击;抨击;批评"
第12天 Unit 3 Lesson 4,shoot,"v.射击,发射;摄影;飞驰 n.摄影;狩猎;新枝"
第12天 Unit 3 Lesson 4,shot,n.射击;枪手;射门;发射
第12天 Unit 3 Lesson 4,invade,"v.侵犯;侵略,入侵"
第12天 Unit 3 Lesson 4,*invasion,"n.侵犯;侵略,入侵;侵袭"
第12天 Unit 3 Lesson 4,enemy,n.敌人;敌军;危害物
第12天 Unit 3 Lesson 4,battle,n.战役;战斗 v.争论;斗争
第12天 Unit 3 Lesson 4,debate,"n.争论;讨论 v.讨论,辩论"
第12天 Unit 3 Lesson 4,dispute,"n.争论,辩论;争端 v.对……提出质询"
第12天 Unit 3 Lesson 4,combat,"v.防止;减轻;战斗 n.战斗,打仗"
第12天 Unit 3 Lesson 4,battery,n.电池
第12天 Unit 3 Lesson 4,struggle,"n.斗争;奋斗;努力 v.斗争,抗争;奋斗"
第12天 Unit 3 Lesson 4,beg,"v.恳求;乞求,请求"
第12天 Unit 3 Lesson 4,nuclear,adj.原子能的;核能的
第12天 Unit 3 Lesson 4,nucleus,"n.核,原子核;核心"
第12天 Unit 3 Lesson 4,weapon,n.武器
第12天 Unit 3 Lesson 4,arm,"n.臂;支架;武器,武力 v.武装,装备"
第12天 Unit 3 Lesson 4,army,n.军队
第12天 Unit 3 Lesson 4,military,n.军方 adj.军事的
第12天 Unit 3 Lesson 4,strike,"v.打,击;突然发生;罢工 n.罢工;打,击"
第12天 Unit 3 Lesson 4,striking,adj.引人注目的;异乎寻常的;显著的
第12天 Unit 3 Lesson 4,knock,"v.敲,打;碰,撞 n.敲击声"
第12天 Unit 3 Lesson 4,shock,n.震惊;休克;令人震惊的事 v.使震惊
第12天 Unit 3 Lesson 4,*shocking,adj.令人震惊的
第12天 Unit 3 Lesson 4,shake,v.摇动;抖动;与……握手 n.摇动;颤抖
第12天 Unit 3 Lesson 4,stroke,"v.抚摸;击球,击打 n.抚摸;中风;击球"
第12天 Unit 3 Lesson 4,strain,n.压力;重负 v.拉伤;拉紧
